SPEED_INFO {time_x : 3059, time_y : 3060, speed_x : -0.0, speed_y : -0.0, valid : 1}
SPEED_INFO {time_x : 3061, time_y : 3062, speed_x : -0.0, speed_y : -0.0, valid : 1}
SPEED_INFO {time_x : 3063, time_y : 3064, speed_x : -0.0, speed_y : -0.0, valid : 1}
SPEED_INFO {time_x : 3065, time_y : 3066, speed_x : -0.0, speed_y : -0.0, valid : 1}
SPEED_INFO {time_x : 3067, time_y : 3068, speed_x : -0.0, speed_y : -0.0, valid : 1}
SPEED_INFO {time_x : 3069, time_y : 3070, speed_x : -0.0, speed_y : -0.0, valid : 1}
SPEED_INFO {time_x : 3071, time_y : 3072, speed_x : -0.0, speed_y : -0.0, valid : 1}
SPEED_INFO {time_x : 3073, time_y : 3074, speed_x : -0.0, speed_y : -0.0, valid : 1}
SPEED_INFO {time_x : 3075, time_y : 3075, speed_x : -0.0, speed_y : -0.0, valid : 1}
SPEED_INFO {time_x : 3076, time_y : 3077, speed_x : -0.0, speed_y : -0.0, valid : 1}
SPEED_INFO {time_x : 3078, time_y : 3079, speed_x : -0.0, speed_y : -0.0, valid : 1}
SPEED_INFO {time_x : 3080, time_y : 3081, speed_x : -0.0, speed_y : -0.0, valid : 1}
SPEED_INFO {time_x : 3082, time_y : 3083, speed_x : -0.0, speed_y : -0.0, valid : 1}
SPEED_INFO {time_x : 3084, time_y : 3085, speed_x : -0.0, speed_y : -0.0, valid : 1}
SPEED_INFO {time_x : 3086, time_y : 3087, speed_x : -0.0, speed_y : -0.0, valid : 1}
SPEED_INFO {time_x : 3088, time_y : 3089, speed_x : -0.0, speed_y : -0.0, valid : 1}
SPEED_INFO {time_x : 3090, time_y : 3091, speed_x : -0.0, speed_y : -0.0, valid : 1}
SPEED_INFO {time_x : 3092, time_y : 3093, speed_x : -0.0, speed_y : -0.0, valid : 1}
SPEED_INFO {time_x : 3094, time_y : 3095, speed_x : -0.0, speed_y : -0.0, valid : 1}
SPEED_INFO {time_x : 3096, time_y : 3097, speed_x : -0.0, speed_y : -0.0, valid : 1}
SPEED_INFO {time_x : 3098, time_y : 3099, speed_x : -0.0, speed_y : -0.0, valid : 1}
SPEED_INFO {time_x : 3100, time_y : 3101, speed_x : -0.0, speed_y : -0.0, valid : 1}
SPEED_INFO {time_x : 3102, time_y : 3103, speed_x : -0.0, speed_y : -0.0, valid : 1}
SPEED_INFO {time_x : 3104, time_y : 3105, speed_x : -0.0, speed_y : -0.0, valid : 1}
SPEED_INFO {time_x : 3106, time_y : 3107, speed_x : -0.0, speed_y : -0.0, valid : 1}
SPEED_INFO {time_x : 3108, time_y : 3109, speed_x : -0.0, speed_y : -0.0, valid : 1}
SPEED_INFO {time_x : 3110, time_y : 3111, speed_x : -0.0, speed_y : -0.0, valid : 1}
SPEED_INFO {time_x : 3112, time_y : 3113, speed_x : -0.0, speed_y : -0.0, valid : 1}
SPEED_INFO {time_x : 3114, time_y : 3115, speed_x : -0.0, speed_y : -0.0, valid : 1}
SPEED_INFO {time_x : 3116, time_y : 3117, speed_x : -0.0, speed_y : -0.0, valid : 1}
SPEED_INFO {time_x : 3118, time_y : 3119, speed_x : -0.0, speed_y : -0.0, valid : 1}
SPEED_INFO {time_x : 3120, time_y : 3121, speed_x : -0.0, speed_y : -0.0, valid : 1}
SPEED_INFO {time_x : 3122, time_y : 3122, speed_x : -0.0, speed_y : -0.0, valid : 1}
SPEED_INFO {time_x : 3123, time_y : 3124, speed_x : -0.0, speed_y : -0.0, valid : 1}
SPEED_INFO {time_x : 3125, time_y : 3126, speed_x : -0.0, speed_y : -0.0, valid : 1}
SPEED_INFO {time_x : 3127, time_y : 3128, speed_x : -0.0, speed_y : -0.0, valid : 1}
SPEED_INFO {time_x : 3129, time_y : 3130, speed_x : -0.0, speed_y : -0.0, valid : 1}
SPEED_INFO {time_x : 3131, time_y : 3132, speed_x : -0.0, speed_y : -0.0, valid : 1}
SPEED_INFO {time_x : 3133, time_y : 3134, speed_x : -0.0, speed_y : -0.0, valid : 1}
SPEED_INFO {time_x : 3135, time_y : 3136, speed_x : -0.0, speed_y : -0.0, valid : 1}
SPEED_INFO {time_x : 3137, time_y : 3138, speed_x : -0.0, speed_y : -0.0, valid : 1}
SPEED_INFO {time_x : 3139, time_y : 3140, speed_x : -0.0, speed_y : -0.0, valid : 1}
SPEED_INFO {time_x : 3141, time_y : 3142, speed_x : -0.0, speed_y : -0.0, valid : 1}
SPEED_INFO {time_x : 3143, time_y : 3144, speed_x : -0.0, speed_y : -0.0, valid : 1}
SPEED_INFO {time_x : 3145, time_y : 3146, speed_x : -0.0, speed_y : -0.0, valid : 1}
SPEED_INFO {time_x : 3147, time_y : 3148, speed_x : -0.0, speed_y : -0.0, valid : 1}
SPEED_INFO {time_x : 3149, time_y : 3150, speed_x : -0.0, speed_y : -0.0, valid : 1}
SPEED_INFO {time_x : 3151, time_y : 3152, speed_x : -0.0, speed_y : -0.0, valid : 1}
SPEED_INFO {time_x : 3153, time_y : 3154, speed_x : -0.0, speed_y : -0.0, valid : 1}
SPEED_INFO {time_x : 3155, time_y : 3156, speed_x : -0.0, speed_y : -0.0, valid : 1}
SPEED_INFO {time_x : 3157, time_y : 3158, speed_x : -0.0, speed_y : -0.0, valid : 1}
SPEED_INFO {time_x : 3159, time_y : 3160, speed_x : -0.0, speed_y : -0.0, valid : 1}
SPEED_INFO {time_x : 3161, time_y : 3162, speed_x : -0.0, speed_y : -0.0, valid : 1}
SPEED_INFO {time_x : 3163, time_y : 3164, speed_x : -0.0, speed_y : -0.0, valid : 1}
SPEED_INFO {time_x : 3165, time_y : 3166, speed_x : -0.0, speed_y : -0.0, valid : 1}
SPEED_INFO {time_x : 3167, time_y : 3167, speed_x : -0.0, speed_y : -0.0, valid : 1}
SPEED_INFO {time_x : 3168, time_y : 3169, speed_x : -0.0, speed_y : -0.0, valid : 1}
SPEED_INFO {time_x : 3170, time_y : 3171, speed_x : -0.0, speed_y : -0.0, valid : 1}
SPEED_INFO {time_x : 3172, time_y : 3173, speed_x : -0.0, speed_y : -0.0, valid : 1}
SPEED_INFO {time_x : 3174, time_y : 3175, speed_x : -0.0, speed_y : -0.0, valid : 1}
SPEED_INFO {time_x : 3176, time_y : 3177, speed_x : -0.0, speed_y : -0.0, valid : 1}
SPEED_INFO {time_x : 3178, time_y : 3179, speed_x : -0.0, speed_y : -0.0, valid : 1}
SPEED_INFO {time_x : 3180, time_y : 3181, speed_x : -0.0, speed_y : -0.0, valid : 1}
SPEED_INFO {time_x : 3182, time_y : 3183, speed_x : -0.0, speed_y : -0.0, valid : 1}
SPEED_INFO {time_x : 3184, time_y : 3185, speed_x : -0.0, speed_y : -0.0, valid : 1}
SPEED_INFO {time_x : 3186, time_y : 3187, speed_x : -0.0, speed_y : -0.0, valid : 1}
SPEED_INFO {time_x : 3188, time_y : 3189, speed_x : -0.0, speed_y : -0.0, valid : 1}
SPEED_INFO {time_x : 3190, time_y : 3191, speed_x : -0.0, speed_y : -0.0, valid : 1}
SPEED_INFO {time_x : 3192, time_y : 3193, speed_x : -0.0, speed_y : -0.0, valid : 1}
SPEED_INFO {time_x : 3194, time_y : 3195, speed_x : -0.0, speed_y : -0.0, valid : 1}
SPEED_INFO {time_x : 3196, time_y : 3197, speed_x : -0.0, speed_y : -0.0, valid : 1}
SPEED_INFO {time_x : 3198, time_y : 3199, speed_x : -0.0, speed_y : -0.0, valid : 1}
SPEED_INFO {time_x : 3200, time_y : 3201, speed_x : -0.0, speed_y : -0.0, valid : 1}
SPEED_INFO {time_x : 3202, time_y : 3203, speed_x : -0.0, speed_y : -0.0, valid : 1}
HEARTBEAT {mode : 0, time : 3207}
SPEED_SETPOINT {setpoint_x : 0.0, setpoint_y : 0.0}
RAW_SENSOR {time : 3202, sensor_id : 0, delta_x : 0, delta_y : 0, squal : 79, lift : 0, product_id : 66, srom_id : 4}
RAW_SENSOR {time : 3203, sensor_id : 1, delta_x : 0, delta_y : 0, squal : 52, lift : 0, product_id : 66, srom_id : 4}
MOTOR_SETPOINT {time : 3203, motor_x : 0.0, motor_y : 0.0}
SPEED_INFO {time_x : 3215, time_y : 3216, speed_x : -0.0, speed_y : -0.0, valid : 1}
SPEED_INFO {time_x : 3217, time_y : 3218, speed_x : -0.0, speed_y : -0.0, valid : 1}
SPEED_INFO {time_x : 3219, time_y : 3220, speed_x : -0.0, speed_y : -0.0, valid : 1}
SPEED_INFO {time_x : 3221, time_y : 3222, speed_x : -0.0, speed_y : -0.0, valid : 1}
SPEED_INFO {time_x : 3223, time_y : 3224, speed_x : -0.0, speed_y : -0.0, valid : 1}
SPEED_INFO {time_x : 3225, time_y : 3226, speed_x : -0.0, speed_y : -0.0, valid : 1}
SPEED_INFO {time_x : 3227, time_y : 3228, speed_x : -0.0, speed_y : -0.0, valid : 1}
SPEED_INFO {time_x : 3228, time_y : 3229, speed_x : -0.0, speed_y : -0.0, valid : 1}
SPEED_INFO {time_x : 3230, time_y : 3231, speed_x : -0.0, speed_y : -0.0, valid : 1}
SPEED_INFO {time_x : 3232, time_y : 3233, speed_x : -0.0, speed_y : -0.0, valid : 1}
SPEED_INFO {time_x : 3234, time_y : 3235, speed_x : -0.0, speed_y : -0.0, valid : 1}
SPEED_INFO {time_x : 3236, time_y : 3237, speed_x : -0.0, speed_y : -0.0, valid : 1}
SPEED_INFO {time_x : 3238, time_y : 3239, speed_x : -0.0, speed_y : -0.0, valid : 1}
SPEED_INFO {time_x : 3240, time_y : 3241, speed_x : -0.0, speed_y : -0.0, valid : 1}
SPEED_INFO {time_x : 3242, time_y : 3243, speed_x : -0.0, speed_y : -0.0, valid : 1}
SPEED_INFO {time_x : 3244, time_y : 3245, speed_x : -0.0, speed_y : -0.0, valid : 1}
SPEED_INFO {time_x : 3246, time_y : 3247, speed_x : -0.0, speed_y : -0.0, valid : 1}
SPEED_INFO {time_x : 3248, time_y : 3249, speed_x : -0.0, speed_y : -0.0, valid : 1}
SPEED_INFO {time_x : 3250, time_y : 3251, speed_x : -0.0, speed_y : -0.0, valid : 1}
SPEED_INFO {time_x : 3252, time_y : 3253, speed_x : -0.0, speed_y : -0.0, valid : 1}
SPEED_INFO {time_x : 3254, time_y : 3255, speed_x : -0.0, speed_y : -0.0, valid : 1}
SPEED_INFO {time_x : 3256, time_y : 3257, speed_x : -0.0, speed_y : -0.0, valid : 1}
SPEED_INFO {time_x : 3258, time_y : 3259, speed_x : -0.0, speed_y : -0.0, valid : 1}
SPEED_INFO {time_x : 3260, time_y : 3261, speed_x : -0.0, speed_y : -0.0, valid : 1}
SPEED_INFO {time_x : 3262, time_y : 3263, speed_x : -0.0, speed_y : -0.0, valid : 1}
SPEED_INFO {time_x : 3264, time_y : 3265, speed_x : -0.0, speed_y : -0.0, valid : 1}
SPEED_INFO {time_x : 3266, time_y : 3267, speed_x : -0.0, speed_y : -0.0, valid : 1}
SPEED_INFO {time_x : 3268, time_y : 3269, speed_x : -0.0, speed_y : -0.0, valid : 1}
SPEED_INFO {time_x : 3270, time_y : 3271, speed_x : -0.0, speed_y : -0.0, valid : 1}
SPEED_INFO {time_x : 3272, time_y : 3273, speed_x : -0.0, speed_y : -0.0, valid : 1}
SPEED_INFO {time_x : 3274, time_y : 3274, speed_x : -0.0, speed_y : -0.0, valid : 1}
SPEED_INFO {time_x : 3275, time_y : 3276, speed_x : -0.0, speed_y : -0.0, valid : 1}
SPEED_INFO {time_x : 3277, time_y : 3278, speed_x : -0.0, speed_y : -0.0, valid : 1}
SPEED_INFO {time_x : 3279, time_y : 3280, speed_x : -0.0, speed_y : -0.0, valid : 1}
SPEED_INFO {time_x : 3281, time_y : 3282, speed_x : -0.0, speed_y : -0.0, valid : 1}
SPEED_INFO {time_x : 3283, time_y : 3284, speed_x : -0.0, speed_y : -0.0, valid : 1}
SPEED_INFO {time_x : 3285, time_y : 3286, speed_x : -0.0, speed_y : -0.0, valid : 1}
SPEED_INFO {time_x : 3287, time_y : 3288, speed_x : -0.0, speed_y : -0.0, valid : 1}
SPEED_INFO {time_x : 3289, time_y : 3290, speed_x : -0.0, speed_y : -0.0, valid : 1}
SPEED_INFO {time_x : 3291, time_y : 3292, speed_x : -0.0, speed_y : -0.0, valid : 1}
SPEED_INFO {time_x : 3293, time_y : 3294, speed_x : -0.0, speed_y : -0.0, valid : 1}
SPEED_INFO {time_x : 3295, time_y : 3296, speed_x : -0.0, speed_y : -0.0, valid : 1}
SPEED_INFO {time_x : 3297, time_y : 3298, speed_x : -0.0, speed_y : -0.0, valid : 1}
SPEED_INFO {time_x : 3299, time_y : 3300, speed_x : -0.0, speed_y : -0.0, valid : 1}
SPEED_INFO {time_x : 3301, time_y : 3302, speed_x : -0.0, speed_y : -0.0, valid : 1}
SPEED_INFO {time_x : 3303, time_y : 3304, speed_x : -0.0, speed_y : -0.0, valid : 1}
SPEED_INFO {time_x : 3305, time_y : 3306, speed_x : -0.0, speed_y : -0.0, valid : 1}
SPEED_INFO {time_x : 3307, time_y : 3308, speed_x : -0.0, speed_y : -0.0, valid : 1}
SPEED_INFO {time_x : 3309, time_y : 3310, speed_x : -0.0, speed_y : -0.0, valid : 1}
SPEED_INFO {time_x : 3311, time_y : 3312, speed_x : -0.0, speed_y : -0.0, valid : 1}
SPEED_INFO {time_x : 3313, time_y : 3314, speed_x : -0.0, speed_y : -0.0, valid : 1}
SPEED_INFO {time_x : 3315, time_y : 3316, speed_x : -0.0, speed_y : -0.0, valid : 1}
SPEED_INFO {time_x : 3317, time_y : 3318, speed_x : -0.0, speed_y : -0.0, valid : 1}
SPEED_INFO {time_x : 3319, time_y : 3320, speed_x : -0.0, speed_y : -0.0, valid : 1}
SPEED_INFO {time_x : 3321, time_y : 3321, speed_x : -0.0, speed_y : -0.0, valid : 1}
SPEED_INFO {time_x : 3322, time_y : 3323, speed_x : -0.0, speed_y : -0.0, valid : 1}
SPEED_INFO {time_x : 3324, time_y : 3325, speed_x : -0.0, speed_y : -0.0, valid : 1}
SPEED_INFO {time_x : 3326, time_y : 3327, speed_x : -0.0, speed_y : -0.0, valid : 1}
SPEED_INFO {time_x : 3328, time_y : 3329, speed_x : -0.0, speed_y : -0.0, valid : 1}
SPEED_INFO {time_x : 3330, time_y : 3331, speed_x : -0.0, speed_y : -0.0, valid : 1}
SPEED_INFO {time_x : 3332, time_y : 3333, speed_x : -0.0, speed_y : -0.0, valid : 1}
SPEED_INFO {time_x : 3334, time_y : 3335, speed_x : -0.0, speed_y : -0.0, valid : 1}
SPEED_INFO {time_x : 3336, time_y : 3337, speed_x : -0.0, speed_y : -0.0, valid : 1}
SPEED_INFO {time_x : 3338, time_y : 3339, speed_x : -0.0, speed_y : -0.0, valid : 1}
SPEED_INFO {time_x : 3340, time_y : 3341, speed_x : -0.0, speed_y : -0.0, valid : 1}
SPEED_INFO {time_x : 3342, time_y : 3343, speed_x : -0.0, speed_y : -0.0, valid : 1}
SPEED_INFO {time_x : 3344, time_y : 3345, speed_x : -0.0, speed_y : -0.0, valid : 1}
SPEED_INFO {time_x : 3346, time_y : 3347, speed_x : -0.0, speed_y : -0.0, valid : 1}
SPEED_INFO {time_x : 3348, time_y : 3349, speed_x : -0.0, speed_y : -0.0, valid : 1}
SPEED_INFO {time_x : 3350, time_y : 3351, speed_x : -0.0, speed_y : -0.0, valid : 1}
SPEED_INFO {time_x : 3352, time_y : 3353, speed_x : -0.0, speed_y : -0.0, valid : 1}
SPEED_INFO {time_x : 3354, time_y : 3355, speed_x : -0.0, speed_y : -0.0, valid : 1}
