SPEED_INFO {time_x : 2267731, time_y : 2267732, speed_x : -0.0, speed_y : -0.0, valid : 1}
SPEED_INFO {time_x : 2267733, time_y : 2267734, speed_x : -0.0, speed_y : -0.0, valid : 1}
SPEED_INFO {time_x : 2267735, time_y : 2267736, speed_x : -0.0, speed_y : -0.0, valid : 1}
SPEED_INFO {time_x : 2267737, time_y : 2267738, speed_x : -0.0, speed_y : -0.0, valid : 1}
SPEED_INFO {time_x : 2267739, time_y : 2267740, speed_x : -0.0, speed_y : -0.0, valid : 1}
SPEED_INFO {time_x : 2267741, time_y : 2267742, speed_x : -0.0, speed_y : -0.0, valid : 1}
SPEED_INFO {time_x : 2267743, time_y : 2267744, speed_x : -0.0, speed_y : -0.0, valid : 1}
SPEED_INFO {time_x : 2267745, time_y : 2267746, speed_x : -0.0, speed_y : -0.0, valid : 1}
SPEED_INFO {time_x : 2267747, time_y : 2267748, speed_x : -0.0, speed_y : -0.0, valid : 1}
SPEED_INFO {time_x : 2267749, time_y : 2267750, speed_x : -0.0, speed_y : -0.0, valid : 1}
SPEED_INFO {time_x : 2267751, time_y : 2267752, speed_x : -0.0, speed_y : -0.0, valid : 1}
SPEED_INFO {time_x : 2267753, time_y : 2267754, speed_x : -0.0, speed_y : -0.0, valid : 1}
SPEED_INFO {time_x : 2267755, time_y : 2267756, speed_x : -0.0, speed_y : -0.0, valid : 1}
SPEED_INFO {time_x : 2267757, time_y : 2267758, speed_x : -0.0, speed_y : -0.0, valid : 1}
SPEED_INFO {time_x : 2267759, time_y : 2267760, speed_x : -0.0, speed_y : -0.0, valid : 1}
SPEED_INFO {time_x : 2267761, time_y : 2267762, speed_x : -0.0, speed_y : -0.0, valid : 1}
SPEED_INFO {time_x : 2267763, time_y : 2267764, speed_x : -0.0, speed_y : -0.0, valid : 1}
SPEED_INFO {time_x : 2267765, time_y : 2267766, speed_x : -0.0, speed_y : -0.0, valid : 1}
SPEED_INFO {time_x : 2267767, time_y : 2267768, speed_x : -0.0, speed_y : -0.0, valid : 1}
SPEED_INFO {time_x : 2267769, time_y : 2267769, speed_x : -0.0, speed_y : -0.0, valid : 1}
SPEED_INFO {time_x : 2267770, time_y : 2267771, speed_x : -0.0, speed_y : -0.0, valid : 1}
SPEED_INFO {time_x : 2267772, time_y : 2267773, speed_x : -0.0, speed_y : -0.0, valid : 1}
SPEED_INFO {time_x : 2267774, time_y : 2267775, speed_x : -0.0, speed_y : -0.0, valid : 1}
SPEED_INFO {time_x : 2267776, time_y : 2267777, speed_x : -0.0, speed_y : -0.0, valid : 1}
SPEED_INFO {time_x : 2267778, time_y : 2267779, speed_x : -0.0, speed_y : -0.0, valid : 1}
SPEED_INFO {time_x : 2267780, time_y : 2267781, speed_x : -0.0, speed_y : -0.0, valid : 1}
SPEED_INFO {time_x : 2267782, time_y : 2267783, speed_x : -0.0, speed_y : -0.0, valid : 1}
SPEED_INFO {time_x : 2267784, time_y : 2267785, speed_x : -0.0, speed_y : -0.0, valid : 1}
SPEED_INFO {time_x : 2267786, time_y : 2267787, speed_x : -0.0, speed_y : -0.0, valid : 1}
SPEED_INFO {time_x : 2267788, time_y : 2267789, speed_x : -0.0, speed_y : -0.0, valid : 1}
SPEED_INFO {time_x : 2267790, time_y : 2267791, speed_x : -0.0, speed_y : -0.0, valid : 1}
SPEED_INFO {time_x : 2267792, time_y : 2267793, speed_x : -0.0, speed_y : -0.0, valid : 1}
SPEED_INFO {time_x : 2267794, time_y : 2267795, speed_x : -0.0, speed_y : -0.0, valid : 1}
SPEED_INFO {time_x : 2267796, time_y : 2267797, speed_x : -0.0, speed_y : -0.0, valid : 1}
SPEED_INFO {time_x : 2267798, time_y : 2267799, speed_x : -0.0, speed_y : -0.0, valid : 1}
SPEED_INFO {time_x : 2267800, time_y : 2267801, speed_x : -0.0, speed_y : -0.0, valid : 1}
SPEED_INFO {time_x : 2267802, time_y : 2267803, speed_x : -0.0, speed_y : -0.0, valid : 1}
SPEED_INFO {time_x : 2267804, time_y : 2267805, speed_x : -0.0, speed_y : -0.0, valid : 1}
SPEED_INFO {time_x : 2267806, time_y : 2267807, speed_x : -0.0, speed_y : -0.0, valid : 1}
HEARTBEAT {mode : 0, time : 2267811}
SPEED_SETPOINT {setpoint_x : 0.0, setpoint_y : 0.0}
RAW_SENSOR {time : 2267806, sensor_id : 0, delta_x : 0, delta_y : 0, squal : 101, lift : 0, product_id : 66, srom_id : 4}
RAW_SENSOR {time : 2267807, sensor_id : 1, delta_x : 0, delta_y : 0, squal : 58, lift : 0, product_id : 66, srom_id : 4}
MOTOR_SETPOINT {time : 2267807, motor_x : 0.0, motor_y : 0.0}
SPEED_INFO {time_x : 2267819, time_y : 2267820, speed_x : -0.0, speed_y : -0.0, valid : 1}
SPEED_INFO {time_x : 2267821, time_y : 2267822, speed_x : -0.0, speed_y : -0.0, valid : 1}
SPEED_INFO {time_x : 2267823, time_y : 2267824, speed_x : -0.0, speed_y : -0.0, valid : 1}
SPEED_INFO {time_x : 2267825, time_y : 2267826, speed_x : -0.0, speed_y : -0.0, valid : 1}
SPEED_INFO {time_x : 2267827, time_y : 2267828, speed_x : -0.0, speed_y : -0.0, valid : 1}
SPEED_INFO {time_x : 2267829, time_y : 2267830, speed_x : -0.0, speed_y : -0.0, valid : 1}
SPEED_INFO {time_x : 2267831, time_y : 2267832, speed_x : -0.0, speed_y : -0.0, valid : 1}
SPEED_INFO {time_x : 2267832, time_y : 2267833, speed_x : -0.0, speed_y : -0.0, valid : 1}
SPEED_INFO {time_x : 2267834, time_y : 2267835, speed_x : -0.0, speed_y : -0.0, valid : 1}
SPEED_INFO {time_x : 2267836, time_y : 2267837, speed_x : -0.0, speed_y : -0.0, valid : 1}
SPEED_INFO {time_x : 2267838, time_y : 2267839, speed_x : -0.0, speed_y : -0.0, valid : 1}
SPEED_INFO {time_x : 2267840, time_y : 2267841, speed_x : -0.0, speed_y : -0.0, valid : 1}
SPEED_INFO {time_x : 2267842, time_y : 2267843, speed_x : -0.0, speed_y : -0.0, valid : 1}
SPEED_INFO {time_x : 2267844, time_y : 2267845, speed_x : -0.0, speed_y : -0.0, valid : 1}
SPEED_INFO {time_x : 2267846, time_y : 2267847, speed_x : -0.0, speed_y : -0.0, valid : 1}
SPEED_INFO {time_x : 2267848, time_y : 2267849, speed_x : -0.0, speed_y : -0.0, valid : 1}
SPEED_INFO {time_x : 2267850, time_y : 2267851, speed_x : -0.0, speed_y : -0.0, valid : 1}
SPEED_INFO {time_x : 2267852, time_y : 2267853, speed_x : -0.0, speed_y : -0.0, valid : 1}
